"","gene","ProbeID","micro_AR_FC","micro_IR_FC","antibody_nonphos","antibody_phos","rppa_AR_FC","rppa_IR_FC","max_AR_FC","AR_max_microORrppa","max_IR_FC","IR_max_microORrppa","max_AR_IR_FCs"
"1","ABL1",17090373,1.01024295284376,1.01038259280799,"c-Abl","c-Abl_pY412",1.00613829418177,0.998156496816349,1.01024295284376,"Micro AR FC",1.01038259280799,"Micro IR FC","Both Micro"
"2","ACSL1",16982047,0.972254468377648,1.05457267912177,"ACSL1",NA,0.973531549702958,1.03745826564147,0.973531549702958,"RPPA AR FC",1.05457267912177,"Micro IR FC","AR RPPA & IR Micro"
"3","ACSS2",16912975,1.00530626818469,1.01632283971852,"AceCS1",NA,0.977537415270054,1.02690770389142,1.00530626818469,"Micro AR FC",1.02690770389142,"RPPA IR FC","AR Micro & IR RPPA"
"4","ACTB",17054823,0.998473843475722,0.975075294003323,"b-Actin",NA,0.997466768144287,0.999018744960701,0.998473843475722,"Micro AR FC",0.999018744960701,"RPPA IR FC","AR Micro & IR RPPA"
"5","ACVRL1",16751381,1.12497520101853,1.00662260243535,"ACVRL1",NA,1.00570747187577,0.988843676317973,1.12497520101853,"Micro AR FC",1.00662260243535,"Micro IR FC","Both Micro"
"6","ADAR",16693813,1.02945453078388,1.01022920505836,"ADAR1",NA,1.00030234311376,0.993543170251264,1.02945453078388,"Micro AR FC",1.01022920505836,"Micro IR FC","Both Micro"
"7","AKT1",16797157,1.00673807517437,1.02080685466542,"Akt1","Akt1_pS473",1.00214272387288,0.982606972989594,1.00673807517437,"Micro AR FC",1.02080685466542,"Micro IR FC","Both Micro"
"8","AKT1S1",16874419,1.02228554983204,1.0024947031114,"PRAS40","PRAS40_pT246",1.00100419772043,1.00189503975952,1.02228554983204,"Micro AR FC",1.0024947031114,"Micro IR FC","Both Micro"
"9","AKT2",16872352,0.98855554337446,1.00385139835524,"Akt2","Akt2_pS474",1.0444803582215,0.948097498099004,1.0444803582215,"RPPA AR FC",1.00385139835524,"Micro IR FC","AR RPPA & IR Micro"
"10","ANXA1",17085901,1.05209718411151,1.08735645416541,"Annexin-I",NA,0.996784995842321,0.997380357468128,1.05209718411151,"Micro AR FC",1.08735645416541,"Micro IR FC","Both Micro"
"11","ANXA7",16715476,0.988080597632682,0.968116819310848,"Annexin-VII",NA,0.997632292501028,0.981735977413945,0.997632292501028,"RPPA AR FC",0.981735977413945,"RPPA IR FC","Both RPPA"
"12","AR",17104313,1.07611046150228,1.07497651482777,"AR",NA,0.986358200756044,1.01045732516516,1.07611046150228,"Micro AR FC",1.07497651482777,"Micro IR FC","Both Micro"
"13","ARAF",17103160,0.990877356127786,0.994823558403261,"A-Raf","A-Raf_pS299",0.974575656360996,0.99534238029627,0.990877356127786,"Micro AR FC",0.99534238029627,"RPPA IR FC","AR Micro & IR RPPA"
"14","ARHGAP45",16856421,1.04934169246676,1.02844798478859,"HMHA1",NA,1.02028742279344,0.987473433184316,1.04934169246676,"Micro AR FC",1.02844798478859,"Micro IR FC","Both Micro"
"15","ARID1A",16661255,1.01635363751782,1.01229543273647,"ARID1A",NA,1.0688455398606,0.988764134797254,1.0688455398606,"RPPA AR FC",1.01229543273647,"Micro IR FC","AR RPPA & IR Micro"
"16","ASNS",17125034,0.860794012697595,0.842264279152542,"ASNS",NA,0.955228607242588,0.98690099812768,0.955228607242588,"RPPA AR FC",0.98690099812768,"RPPA IR FC","Both RPPA"
"17","ATG3",16957372,1.03290451957714,0.980260643247349,"Atg3",NA,0.996923001797588,1.00472346896753,1.03290451957714,"Micro AR FC",1.00472346896753,"RPPA IR FC","AR Micro & IR RPPA"
"18","ATG4B",16893540,0.993671712150047,0.972120298902356,"Atg4B",NA,0.991115121725094,1.01840691432087,0.993671712150047,"Micro AR FC",1.01840691432087,"RPPA IR FC","AR Micro & IR RPPA"
"19","ATG5",17022190,1.00327363533648,0.958152226209913,"Atg5",NA,1.01784488617734,0.972437626095233,1.01784488617734,"RPPA AR FC",0.972437626095233,"RPPA IR FC","Both RPPA"
"20","ATG7",16937681,0.960606987324401,0.952470101941723,"Atg7",NA,0.974587899261989,0.993459524410586,0.974587899261989,"RPPA AR FC",0.993459524410586,"RPPA IR FC","Both RPPA"
"21","ATM",16730845,0.985136161287108,1.03122410716809,"ATM","ATM_pS1981",0.989067876750881,0.998749402958333,0.989067876750881,"RPPA AR FC",1.03122410716809,"Micro IR FC","AR RPPA & IR Micro"
"22","ATR",16959985,1.01479610124559,1.00230279387986,"ATR","ATR_pS428",1.01915321528811,0.79876957995214,1.01915321528811,"RPPA AR FC",1.00230279387986,"Micro IR FC","AR RPPA & IR Micro"
"23","ATRX",17112269,0.966108476993595,0.981802190059367,"ATRX",NA,1.0551789017987,1.00133759437235,1.0551789017987,"RPPA AR FC",1.00133759437235,"RPPA IR FC","Both RPPA"
"24","AURKA",16920548,1.01443125301798,0.984908912559103,"Aurora-A",NA,1.0038962879071,0.968731317304176,1.01443125301798,"Micro AR FC",0.984908912559103,"Micro IR FC","Both Micro"
"25","AURKB",16840902,0.965503413523334,0.957841054037801,"Aurora-B",NA,1.00071148346241,0.986918170068118,1.00071148346241,"RPPA AR FC",0.986918170068118,"RPPA IR FC","Both RPPA"
"26","AXL",16862439,1.0047272229962,1.02576946460662,"Axl",NA,0.992059453356859,0.991613357616326,1.0047272229962,"Micro AR FC",1.02576946460662,"Micro IR FC","Both Micro"
"27","BABAM1",16859454,0.997639777274652,0.970689575730028,"MERIT40","MERIT40_pS29",0.989622014947238,1.01221667005902,0.997639777274652,"Micro AR FC",1.01221667005902,"RPPA IR FC","AR Micro & IR RPPA"
